"As notas do Kindle para:",,,
"ORIENTAÇÃO A OBJETOS EM C#: CONCEITOS E IMPLEMENTAÇÕES EM .NET",,,
"de Everton Coimbra de Araújo",,,
"Visualização instantânea gratuita do Kindle:",,,
"https://a.co/7w7Hrb3",,,
----------------------------------------------,,,
,,,
"Tipo de anotação","Posição","Com estrelas?","Anotação"
"Destaque (Amarelo)","Posição 188","","Associação é o mecanismo que representa um relacionamento/ conexão entre objetos, definindo as dependências e as ligações entre eles, ou seja, o que podem utilizar de recursos de um para outro."
"Destaque (Amarelo)","Posição 207","","coesão, ou seja, é importante que cada unidade, método ou classe realize apenas o que for de sua responsabilidade."
"Destaque (Amarelo)","Posição 219","","Em OO, quando duas classes se associam, elas estão acopladas."
"Destaque (Amarelo)","Posição 219","","discutirmos a qualidade deste acoplamento, pois quando este existe, também começa a existir uma dependência entre classes, e isso pode não ser bom."
"Destaque (Amarelo)","Posição 220","","Quando existe uma alta dependência, o acoplamento também é alto, e isso é ruim."
"Destaque (Amarelo)","Posição 221","","Um sintoma de alto acoplamento é a contestação de uma classe depender de várias outras."
"Destaque (Amarelo)","Posição 222","","imagine a classe associada sofrendo alterações, logo, todas que dependem dela precisarão sofrer alterações também para se adequarem."
"Destaque (Amarelo)","Posição 223","","O ideal é manter o foco em interfaces, desenvolver orientado a interfaces."
"Destaque (Amarelo)","Posição 224","","como uma interface normalmente não sofre alterações, a associação não causa alta dependência, mantendo, assim, um baixo acoplamento."
"Destaque (Amarelo)","Posição 249","","software deve se iniciar a partir de um estudo aprofundado do problema, ou seja, uma análise. Não importa a técnica ou tecnologia a ser utilizada, esta fase é extremamente importante e necessária."
"Destaque (Amarelo)","Posição 271","","uma classe tem a finalidade de tipificar um objeto que possa ser usado em uma aplicação."
"Destaque (Amarelo)","Posição 272","","uma classe é um Tipo Abstrato de Dados (TAD)."
"Destaque (Amarelo)","Posição 273","","Um TAD pode ser definido como a especificação de um conjunto de dados e das operações que podem ser executadas sobre este conjunto."
"Destaque (Amarelo)","Posição 276","","Um objeto com valores atribuídos às suas características define o que é conhecido como Estado do objeto,"
"Destaque (Amarelo)","Posição 277","","É muito comum e mais correto dizermos que um objeto é uma instância de uma classe."
"Destaque (Amarelo)","Posição 282","","Quando trabalhamos bem com OO, não saímos codificando logo de cara, é preciso antes um processo de análise e modelagem."
"Destaque (Amarelo)","Posição 293","","A UML é uma linguagem de modelagem que oferece diversos tipos de diagramas, que podem representar todo o sistema a ser desenvolvido, como também detalhes mais específicos de requisitos levantados."
"Destaque (Amarelo)","Posição 317","","Por convenção, é ideal que cada arquivo possua uma única classe e, ainda, que o nome do arquivo e da classe sejam iguais."
"Destaque (Amarelo)","Posição 319","","não é uma regra."
"Destaque (Amarelo)","Posição 333","","Um tipo de dado que inicia com letra maiúscula caracteriza que se refere a uma classe, e um tipo que inicia com minúscula refere-se a um tipo de dado primitivo à linguagem."
"Destaque (Amarelo)","Posição 379","","Namespace é o nome dado para uma estrutura lógica, responsável por organizar classes, como se fossem pastas físicas, o que permite que você tenha classes com nomes iguais em locais diferentes."
"Destaque (Amarelo)","Posição 380","","Sua real importância está na separação entre domínios para as classes."
"Destaque (Amarelo)","Posição 395","","nome qualificado,"
"Destaque (Amarelo)","Posição 395","","nome da classe precedido pelo nome do namespace em que ela está."
"Destaque (Amarelo)","Posição 428","","Um campo de uma classe não pode ser acessado diretamente de seus objetos, pois, para isso, precisamos de métodos que ofereçam este serviço."
"Destaque (Amarelo)","Posição 455","","A troca para a letra maiúscula não é uma regra. O nome poderia ficar com letra minúscula no início, mas é uma convenção, conhecida como Camel Case e é adotada pela comunidade desenvolvedora do C#."
"Destaque (Amarelo)","Posição 467","","Caso você queira que uma propriedade seja apenas de leitura, você pode deixar de declarar a cláusula set;"
"Destaque (Amarelo)","Posição 503","","De maneira bem simplista, é isso que um método estático oferece; ele pode ser invocado diretamente, sem a necessidade de um objeto."
"Destaque (Amarelo)","Posição 504","","Isso significa também que, em caso de termos propriedades estáticas, o valor delas é compartilhado por todos os objetos da classe."
"Destaque (Amarelo)","Posição 525","","O processo de instanciação se dá pela cláusula new, que precede o nome da classe."
